team,net_rating,pace,ato,efg_pct,ortg,drtg,seed,region,is_qualified,logo
Troy,+10.2,68.1,1.345,.526,113.5,103.4,,,0,
Tulane,-4.6,68.2,1.196,.495,105.3,109.9,,,0,
Tulsa,+18.1,68.8,1.486,.566,122.9,104.9,,,0,
UAB,+7.6,70.8,1.607,.486,110.5,102.9,,,0,
UC Davis,+3.5,71.9,1.211,.521,107.2,103.7,,,0,
UC Irvine,+12.4,71.4,1.268,.512,107.2,94.8,15,Midwest,1,
UC Riverside,-7.0,70.7,0.969,.495,103.1,110.1,,,0,
UC San Diego,+7.7,69.8,1.325,.528,108.4,100.7,,,0,
UC Santa Barbara,+7.1,67.5,1.109,.549,113.2,106.1,,,0,
UCF,+3.5,70.6,1.411,.528,113.7,110.2,10,East,1,
UCLA,+10.1,65.7,1.831,.539,117.0,106.9,7,East,1,
UConn,+18.6,66.0,1.643,.553,116.5,97.9,2,East,1,
UIC,+8.1,67.2,1.208,.507,110.7,102.6,,,0,
UMBC,+13.7,66.9,1.271,.542,113.0,99.3,16,Midwest,1,
UMass,+3.6,71.1,1.308,.530,110.3,106.7,,,0,
UMass-Lowell,-2.1,69.4,1.025,.510,107.9,109.9,,,0,
UNC,+12.3,68.8,1.649,.546,116.0,103.7,,,0,
UNC Asheville,+0.7,67.5,0.909,.517,107.5,106.8,,,0,
UNC Greensboro,-2.7,69.0,1.255,.530,112.6,115.3,,,0,
UNC Wilmington,+13.9,67.0,1.350,.514,114.9,101.0,,,0,
UNLV,+1.1,70.7,1.174,.532,111.1,110.0,,,0,
USC,+0.9,71.0,1.224,.507,108.5,107.6,,,0,
USC Upstate,+0.8,70.0,1.024,.500,104.5,103.7,,,0,
UT Arlington,+4.9,67.3,0.842,.481,102.7,97.9,,,0,
UT-Martin,+9.8,66.9,0.944,.491,103.8,94.0,,,0,
UTEP,-4.5,66.8,1.000,.492,102.6,107.1,,,0,
UTSA,-16.1,70.2,0.908,.459,99.0,115.0,,,0,
Utah,-7.0,68.0,1.202,.520,108.8,115.8,,,0,
Utah State,+17.7,68.5,1.660,.572,120.0,102.3,10,South,1,
Utah Tech,+2.7,68.9,1.177,.540,108.8,106.1,,,0,
Utah Valley,+16.6,69.9,1.305,.560,113.4,96.8,,,0,
VCU,+14.5,69.4,1.343,.541,117.6,103.1,11,West,1,
VMI,-11.7,68.6,1.260,.490,104.9,116.6,,,0,
Valparaiso,+0.8,66.3,1.152,.483,106.6,105.8,,,0,
Vanderbilt,+15.6,70.8,1.726,.553,121.1,105.4,,,0,
Vermont,+7.5,64.7,1.351,.539,112.2,104.7,13,Midwest,1,
Villanova,+9.5,66.4,1.535,.537,114.8,105.3,,,0,
Virginia,+18.1,66.5,1.537,.546,119.1,101.0,6,South,1,
Virginia Tech,+5.6,68.0,1.385,.522,112.8,107.2,,,0,
Wagner,-0.6,66.2,0.977,.501,105.5,106.1,,,0,
Wake Forest,+2.5,69.5,1.324,.526,112.2,109.6,,,0,
Washington,+5.1,68.0,1.324,.512,112.2,107.1,,,0,
Washington State,-2.0,69.2,1.069,.549,110.0,112.0,,,0,
Weber State,+5.4,70.7,1.207,.527,113.6,108.2,,,0,
West Georgia,-4.3,70.5,1.133,.503,107.4,111.6,,,0,
West Virginia,+6.9,64.0,1.133,.511,106.9,100.0,,,0,
Western Carolina,+1.6,69.1,1.113,.513,112.6,111.0,,,0,
Western Illinois,-17.7,67.2,0.712,.455,96.2,113.9,,,0,
Western Kentucky,+4.4,71.1,1.279,.481,110.6,106.2,,,0,
Western Michigan,-6.7,69.7,1.041,.502,106.9,113.6,,,0,
Wichita State,+10.5,67.1,1.115,.501,113.2,102.7,,,0,
William & Mary,+7.3,73.9,1.479,.551,112.5,105.2,,,0,
Winthrop,+11.3,72.1,1.312,.512,115.6,104.3,,,0,
Wisconsin,+10.1,68.8,1.798,.545,118.8,108.7,,,0,
Wofford,+2.4,68.1,1.500,.531,115.2,112.8,,,0,
Wright State,+10.5,69.0,1.221,.549,116.5,106.0,,,0,
Wyoming,+6.1,67.6,1.273,.523,114.1,108.0,,,0,
Xavier,-3.2,71.2,1.740,.518,109.2,112.4,,,0,
Yale,+16.1,66.1,1.763,.569,122.2,106.1,14,Midwest,1,
Youngstown State,+7.1,69.0,1.157,.547,112.5,105.4,,,0,
